leak_node,leak_diam_mm,leak_at,closest_sensor,dd_auc_d3,dd_timepoint_d3,dd_score_d3,dd_auc_ks,dd_timepoint_ks,dd_score_ks
n268,11,2535300,n288,0.9925373134328358,2505600,0.050898614654194985,0.75,2505600,0.7380952380952381
n269,11,1795500,n679,0.9925373134328358,1814400,0.06211911848072571,0.75,1814400,0.7485119047619048
n271,11,6069600,n296,0.9,6048000,0.21931025014172345,0.5,5788800,0.8288690476190477
n275,11,3861900,n726,0.9925373134328358,3888000,0.06037193523242623,0.7,3888000,0.7544642857142857
n276,11,4671900,n288,0.9925373134328358,4665600,0.05830808886054406,0.75,4665600,0.7633928571428572
n277,11,5806800,n288,0.9925373134328358,5788800,0.06259079152494329,0.9,5788800,0.7142857142857143
n279,11,3757500,n288,1.0,3715200,0.05336548681972786,0.75,3715200,0.7738095238095238
n281,11,4739400,n296,1.0,4752000,0.03481744260204078,0.85,4752000,0.6904761904761905
n283,11,675900,n726,0.9929577464788732,691200,0.03927729946145131,0.9166666666666667,777600,0.7217261904761905
n285,11,1429200,n288,0.9925373134328358,1382400,0.05136364441609975,0.65,1382400,0.8110119047619048
n286,11,1159200,n726,0.9925373134328358,1123200,0.02868126417233563,0.85,1123200,0.7306547619047619
n287,11,7115400,n296,0.9929577464788732,7084800,0.026971726190476275,1.0,7171200,0.6711309523809523
n288,11,5698800,n288,0.9925373134328358,5702400,0.005097611961451309,0.95,5702400,0.6220238095238095
n290,11,1703700,n726,0.9925373134328358,1728000,0.058115433673469497,0.7,1641600,0.7544642857142857
n292,11,4626900,n296,0.9925373134328358,4665600,0.032848816609977405,0.95,4579200,0.65625
n294,11,870300,n726,1.0,864000,0.03173717403628107,0.7777777777777778,864000,0.6934523809523809
n298,11,6758100,n740,0.5,6566400,0.4344197314342404,0.5,777600,0.8571428571428572
n299,11,3326400,n752,1.0,3283200,0.054519203514739156,0.8,3283200,0.7470238095238095
n300,11,4898700,n740,0.5,777600,0.44570223922902497,0.5,777600,0.8571428571428572
n302,11,4678200,n752,1.0,4665600,0.051855247307256325,0.8,4665600,0.7514880952380952
n303,11,1696500,n740,0.5,777600,0.44849684665532874,0.5,777600,0.8571428571428572
n306,11,3772800,n752,1.0,3801600,0.05964560303287991,0.75,3801600,0.7648809523809523
n307,11,1544400,n296,0.9850746268656717,1555200,0.013656374007936511,0.85,1555200,0.6547619047619048
n309,11,912600,n752,0.9926470588235294,950400,0.051804315476190466,0.8333333333333333,864000,0.6889880952380952
n310,11,2877300,n752,0.9925373134328358,2851200,0.0507436047335601,0.75,2851200,0.7380952380952381
n311,11,3293100,n740,0.9925373134328358,3283200,0.01803208262471645,0.9,3283200,0.6741071428571428
n313,11,6473700,n752,0.9925373134328358,6480000,0.04289345946712009,0.8,6480000,0.7440476190476191
